food,serving,calories,protein_g,carbs_g,fat_g
Rice,1 cup cooked,205,4.3,44.5,0.4
Roti,1 medium,120,3.0,18.0,3.5
Dal,1 cup,180,9.0,30.0,2.5
Egg,1 large,72,6.3,0.4,4.8
Chicken,100 g cooked,165,31.0,0.0,3.6
Fish,100 g cooked,140,25.0,0.0,4.0
Milk,1 cup,122,8.0,12.0,4.8
Banana,1 medium,105,1.3,27.0,0.4
Apple,1 medium,95,0.5,25.0,0.3
Potato,1 medium boiled,130,3.0,30.0,0.2
Vegetables,1 cup cooked,80,3.0,15.0,1.0
Oats,1/2 cup dry,150,5.0,27.0,3.0
Paneer,100 g,265,18.0,6.0,20.0
Curd,1 cup,150,8.5,11.0,8.0
Bread,2 slices,160,6.0,28.0,2.0
Nuts,30 g,180,6.0,6.0,16.0
